Symbol	Name	Morningstar Category	NAV Return	NAV Return	Minimum Investment	Net Expense Ratio	No Transaction Fees	Morningstar Rating
HBLAX	 Hartford Balanced Income A	 Allocation--30% to 50% Equity	 +4.84%	 +8.09%	" $2,000"	 0.96%	 NTF	5
HBLCX	 Hartford Balanced Income C	 Allocation--30% to 50% Equity	 +4.46%	 +7.36%	" $2,000"	 1.69%	  	5
HBLIX	 Hartford Balanced Income I	 Allocation--30% to 50% Equity	 +4.96%	 +8.36%	" $2,000"	 0.70%	  	5
HBLRX	 Hartford Balanced Income R3	 Allocation--30% to 50% Equity	 +4.66%	 +7.83%	 $0	 1.25%	  	5
HBLSX	 Hartford Balanced Income R4	 Allocation--30% to 50% Equity	 +4.74%	 +8.06%	 $0	 0.95%	  	5
HBLTX	 Hartford Balanced Income R5	 Allocation--30% to 50% Equity	 +4.94%	 +8.39%	 $0	 0.70%	  	5
HBLVX	 Hartford Balanced Income R6	 Allocation--30% to 50% Equity	 +5.03%	 +8.52%	 $0	 0.62%	  	5
HCKIX	 Hartford Checks and Balances I	 Allocation--50% to 70% Equity	 +7.63%	 +13.19%	" $2,000"	 0.78%	  	5
HCKRX	 Hartford Checks and Balances R3	 Allocation--50% to 70% Equity	 +7.36%	 +12.62%	 $0	 1.35%	  	5
HCKSX	 Hartford Checks and Balances R4	 Allocation--50% to 70% Equity	 +7.51%	 +12.93%	 $0	 1.06%	  	5
HCKTX	 Hartford Checks and Balances R5	 Allocation--50% to 70% Equity	 +7.75%	 +13.33%	 $0	 0.75%	  	5
HFDCX	 Hartford Schroders US S/M-Cap Opps C	 Mid-Cap Blend	 +6.78%	 +17.05%	" $2,000"	 2.01%	  	5
HFDRX	 Hartford Schroders US S/M-Cap Opps R3	 Mid-Cap Blend	 +6.92%	 +17.55%	 $0	 1.62%	  	5
HFDSX	 Hartford Schroders US S/M-Cap Opps R4	 Mid-Cap Blend	 +7.15%	 +17.81%	 $0	 1.32%	  	5
HFDTX	 Hartford Schroders US S/M-Cap Opps R5	 Mid-Cap Blend	 +7.23%	 +18.14%	 $0	 1.02%	  	5
HGSIX	 Rational Risk Managed Emerging Mkts Intl	 Diversified Emerging Mkts	 +18.01%	 +13.02%	" $1,000"	 1.28%	  	5
HSFAX	 HSBC Frontier Markets A	 Diversified Emerging Mkts	 +14.68%	 +18.86%	" $1,000"	 2.20%	  	5
ICARX	 ICON Emerging Markets S	 Diversified Emerging Mkts	 +17.86%	 +14.63%	" $1,000"	 1.55%	 NTF	5
ICEIX	 Ivy International Core Equity I	 Foreign Large Blend	 +14.23%	 +22.39%	 $0	 0.97%	  	5
IEQAX	 ICON Equity Income A	 Allocation--85%+ Equity	 +6.09%	 +16.80%	" $1,000"	 1.44%	  	5
IHOSX	 Hartford International Opportunities R4	 Foreign Large Blend	 +14.21%	 +18.79%	 $0	 1.14%	  	5
IHOTX	 Hartford International Opportunities R5	 Foreign Large Blend	 +14.30%	 +19.10%	 $0	 0.84%	  	5
IHOVX	 Hartford International Opportunities R6	 Foreign Large Blend	 +14.44%	 +19.25%	 $0	 0.74%	  	5
IICEX	 Ivy International Core Equity E	 Foreign Large Blend	 +14.02%	 +21.93%	 $750	 1.28%	  	5
IOEZX	 ICON Equity Income S	 Allocation--85%+ Equity	 +6.26%	 +17.07%	" $1,000"	 1.19%	 NTF	5
IPCAX	 ICON Emerging Markets A	 Diversified Emerging Mkts	 +17.75%	 +14.34%	" $1,000"	 1.80%	  	5
IPOAX	 Ivy Emerging Markets Equity A	 Diversified Emerging Mkts	 +21.23%	 +26.89%	 $750	 1.58%	 NTF	5
IPOIX	 Ivy Emerging Markets Equity I	 Diversified Emerging Mkts	 +21.54%	 +27.39%	 $0	 0.99%	  	5
IPOYX	 Ivy Emerging Markets Equity Y	 Diversified Emerging Mkts	 +21.30%	 +27.03%	 $0	 1.50%	  	5
IVIAX	 Ivy International Core Equity A	 Foreign Large Blend	 +13.99%	 +21.96%	 $750	 1.29%	 NTF	5
IVVIX	 Ivy Small Cap Core I	 Small Blend	 +4.88%	 +22.04%	 $0	 1.10%	  	5
IVVYX	 Ivy International Core Equity Y	 Foreign Large Blend	 +14.02%	 +22.00%	 $0	 1.24%	  	5
IYPCX	 Ivy Emerging Markets Equity R	 Diversified Emerging Mkts	 +21.09%	 +26.60%	 $0	 1.82%	  	5
IYSYX	 Ivy Small Cap Core Y	 Small Blend	 +4.74%	 +21.69%	 $0	 1.35%	  	5
JCPRX	 JPMorgan US Large Cap Core Plus R5	 Large Blend	 +9.14%	 +22.14%	 $0	 0.80%	  	5
JDIVX	 JHancock Disciplined Value Intl NAV	 Foreign Large Blend	 +13.42%	 +19.01%	 $0	 0.88%	  	5
JLCVX	 JHancock Fundamental Large Cap Core R5	 Large Blend	 +10.11%	 +24.65%	 $0	 0.75%	  	5
JMEZX	 JPMorgan Market Expansion Enh Idx R2	 Small Blend	 +3.81%	 +19.06%	 $0	 0.83%	  	5
JMVPX	 JPMorgan Mid Cap Value R3	 Mid-Cap Blend	 +6.08%	 +13.92%	 $0	 1.25%	  	5
JMVQX	 JPMorgan Mid Cap Value R4	 Mid-Cap Blend	 +6.18%	 +14.15%	 $0	 1.00%	  	5
JMVRX	 JPMorgan Mid Cap Value R5	 Mid-Cap Blend	 +6.29%	 +14.34%	 $0	 0.85%	  	5
JPEAX	 JPMorgan Tax Aware Equity A	 Large Blend	 +10.34%	 +21.57%	" $1,000"	 0.98%	 NTF	5
JPITX	 JPMorgan Investor Growth T	 Allocation--85%+ Equity	 +9.67%	 +19.16%	" $1,000"	 1.14%	  	5
JSEPX	 JPMorgan Small Cap Equity R3	 Small Blend	 +6.52%	 +20.18%	 $0	 1.25%	  	5
JSEQX	 JPMorgan Small Cap Equity R4	 Small Blend	 +6.65%	 +20.41%	 $0	 1.00%	  	5
JSERX	 JPMorgan Small Cap Equity R5	 Small Blend	 +6.77%	 +20.74%	 $0	 0.80%	  	5
JSMIX	 JPMorgan SmartRetirementÂ® 2030 R5	 Target-Date 2030	 +9.05%	 +13.51%	 $0	 0.64%	  	5
JTTIX	 JPMorgan SmartRetirementÂ® 2020 R5	 Target-Date 2020	 +6.85%	 +9.80%	 $0	 0.60%	  	5
JTTQX	 JPMorgan SmartRetirementÂ® 2020 R4	 Target-Date 2020	 +6.79%	 +9.68%	 $0	 0.75%	  	5
JUEQX	 JPMorgan US Equity R4	 Large Blend	 +8.91%	 +20.02%	 $0	 0.76%	  	5
JUSRX	 JPMorgan US Equity R5	 Large Blend	 +9.05%	 +20.33%	 $0	 0.56%	  	5
JVMSX	 JHancock Disciplined Value Mid Cap R2	 Mid-Cap Blend	 +6.11%	 +18.23%	 $0	 1.27%	  	5
JVMTX	 JHancock Disciplined Value Mid Cap R4	 Mid-Cap Blend	 +6.19%	 +18.50%	 $0	 1.02%	  	5
JVMVX	 JHancock Disciplined Value Mid Cap Adv	 Mid-Cap Blend	 +6.19%	 +18.38%	 $0	 1.12%	  	5
KPLCX	 KP Large Cap Equity Institutional	 Large Blend	 +10.90%	 +20.44%	 $0	 0.34%	  	5
LCCAX	 Columbia Contrarian Core A	 Large Blend	 +10.78%	 +17.50%	" $2,000"	 1.06%	  	5
LFEKX	 MFS Lifetime 2035 R6	 Target-Date 2035	 +9.54%	 +14.50%	 $0	 0.51%	  	5
LFEUX	 MFS Lifetime 2035 R4	 Target-Date 2035	 +9.55%	 +14.37%	 $0	 0.65%	  	5
LKBAX	 LKCM Balanced	 Allocation--50% to 70% Equity	 +6.10%	 +11.98%	" $2,000"	 0.81%	  	5
LMSAX	 ClearBridge Small Cap A	 Small Blend	 +6.56%	 +25.72%	" $1,000"	 1.26%	 NTF	5
MBEAX	 AMG Chicago Equity Partners Balanced N	 Allocation--50% to 70% Equity	 +7.02%	 +9.85%	" $2,000"	 1.09%	 NTF	5
MDIDX	 MFS Intl Diversification A	 Foreign Large Blend	 +17.37%	 +18.51%	" $1,000"	 1.18%	  	5
MDIHX	 MFS Intl Diversification R3	 Foreign Large Blend	 +17.29%	 +18.47%	 $0	 1.18%	  	5
MDIJX	 MFS Intl Diversification I	 Foreign Large Blend	 +17.47%	 +18.76%	 $0	 0.93%	  	5
MDITX	 MFS Intl Diversification R4	 Foreign Large Blend	 +17.46%	 +18.75%	 $0	 0.93%	  	5
MFPHX	 Morgan Stanley Inst Insight A	 Mid-Cap Blend	 +7.85%	 +27.36%	" $1,000"	 1.40%	 NTF	5
MFRJX	 MFS Research R4	 Large Blend	 +11.83%	 +17.38%	 $0	 0.57%	  	5
MFRKX	 MFS Research R6	 Large Blend	 +11.89%	 +17.50%	 $0	 0.48%	  	5
MINFX	 MFS International Value R2	 Foreign Large Blend	 +16.00%	 +14.99%	 $0	 1.26%	  	5
MINGX	 MFS International Value R3	 Foreign Large Blend	 +16.11%	 +15.27%	 $0	 1.01%	  	5
MINHX	 MFS International Value R4	 Foreign Large Blend	 +16.30%	 +15.58%	 $0	 0.76%	  	5
MINIX	 MFS International Value I	 Foreign Large Blend	 +16.28%	 +15.58%	 $0	 0.76%	  	5
MINRX	 MFS International Value R1	 Foreign Large Blend	 +15.70%	 +14.40%	 $0	 1.76%	  	5
MITDX	 MFS Massachusetts Investors Tr R4	 Large Blend	 +12.15%	 +20.02%	 $0	 0.48%	  	5
MITHX	 MFS Massachusetts Investors Tr R3	 Large Blend	 +11.98%	 +19.72%	 $0	 0.73%	  	5
MITIX	 MFS Massachusetts Investors Tr I	 Large Blend	 +12.12%	 +20.01%	 $0	 0.48%	  	5
MITTX	 MFS Massachusetts Investors Tr A	 Large Blend	 +12.00%	 +19.74%	" $1,000"	 0.73%	  	5
MLVAX	 MFS Low Volatility Equity A	 Large Blend	 +8.42%	 +10.88%	" $1,000"	 1.20%	  	5
MLVHX	 MFS Low Volatility Equity I	 Large Blend	 +8.54%	 +11.14%	 $0	 0.95%	  	5
MLVOX	 MFS Low Volatility Equity R2	 Large Blend	 +8.33%	 +10.62%	 $0	 1.45%	  	5
MLVPX	 MFS Low Volatility Equity R3	 Large Blend	 +8.46%	 +10.91%	 $0	 1.20%	  	5
MLVRX	 MFS Low Volatility Equity R4	 Large Blend	 +8.52%	 +11.21%	 $0	 0.95%	  	5
MLVTX	 MFS Low Volatility Equity R6	 Large Blend	 +8.58%	 +11.32%	 $0	 0.91%	  	5
MRFIX	 MFS Research I	 Large Blend	 +11.84%	 +17.37%	 $0	 0.57%	  	5
MSFKX	 MFS Total Return R6	 Allocation--50% to 70% Equity	 +6.40%	 +10.09%	 $0	 0.41%	  	5
MSSIX	 Victory Trivalent International Sm-Cp R6	 Foreign Small/Mid Blend	 +18.58%	 +22.28%	 $0	 1.13%	  	5
MSSPX	 Morgan Stanley Inst Insight C	 Mid-Cap Blend	 +7.41%	 +26.40%	" $1,000"	 2.15%	  	5
MYCNX	 Mainstay US Equity Opportunities Inv	 Large Blend	 +5.14%	 +18.56%	" $1,000"	 1.47%	  	5
NFFFX	 American Funds New World F2	 Diversified Emerging Mkts	 +17.33%	 +19.40%	 $250	 0.76%	  	5
NMSCX	 Columbia Small Cap Index Z	 Small Blend	 +2.77%	 +22.30%	" $2,000"	 0.20%	  	5
NWFFX	 American Funds New World F1	 Diversified Emerging Mkts	 +17.16%	 +19.08%	 $250	 1.03%	 NTF	5
OAKIX	 Oakmark International Investor	 Foreign Large Blend	 +16.17%	 +40.05%	" $1,000"	 1.00%	 NTF	5
